Fei Xia,2:0.0019636099879965837
Remko Scha,2:0.0019499659242624044
Livia Polanyi,2:0.0019499659242624044
Eneko Agirre,2:0.0019468008325635158
Patrice Bonhomme,1:0.0019272970299826246
Maria Wolters,1:0.0019136093160508868
Donna K. Byron,1:0.0019136093160508868
Dan Roth,3:0.0019119489511224019
Dan I. Moldovan,2:0.0018912429436018893
Olga Babko-Malaya,2:0.0018885853989225147
John Henderson,1:0.0018763566314108715
John Garofolo,1:0.0018763566314108715
Christophe Laprun,1:0.0018763566314108715
Susan W. McRoy,1:0.001863665826516139
Alistair Knott,1:0.0018621436834415136
Matthew Stone,1:0.0018621436834415136
S. G. Pulman,2:0.0018621420824523726
Adam Meyers,2:0.0018511235381129042
Roser Morante,2:0.0018335278994701827
Caroline Sporleder,2:0.0018335278994701827
Josef Ruppenhofer,2:0.0018335278994701827
Emanuele Pianta,3:0.0018052223126853145
Christian Girardi,3:0.0018052223126853145
Richard Johansson,2:0.0017734501845434044
Ben Hachey,2:0.0017718655110041865
Kaoru Horie,2:0.0017571827551208477
Rohit Prasad,1:0.001688489094123922
Ken Litkowski,1:0.001687791295784939
Daan Broeder,2:0.0016825754181539964
Malvina Nissim,2:0.0016707789433194039
Andreas Witt,1:0.0016705601394108253
Anette Frank,2:0.0016677625038447061
Stephanie Strassel,2:0.0016568104840282906
Abdessamad Echihabi,1:0.0016548645020824238
Emily Pitler,2:0.0016369188917409391
Ani Nenkova,2:0.0016369188917409391
Esther Konig,1:0.0016178334620977639
Claire Grover,2:0.0015837388823370898
Stelios Piperidis,2:0.001575307052271309
Nicoletta Calzolari,2:0.001575307052271309
Jean Carletta,2:0.0015612931033184285
Michael Strube,2:0.0015527233597648223
Fabrizio Arosio,1:0.001463461843116309
Graham Katz,1:0.001463461843116309
Brigitte Krenn,1:0.0014627473773662196
Kyoko Ohara,1:0.0014521641276371944
Marilyn A. Walker,1:0.0014488003284809543
Christiane Fellbaum,2:0.0014415376231169457
Claudia Soria,2:0.0014401548866483807
David McKelvie,1:0.0014183487953929317
Chris Brew,1:0.0014183487953929317
Henry Thompson,1:0.0014183487953929317
Gabriela Cavaglià,1:0.0014170050439978263
Erhard Hinrichs,2:0.001396688718708032
Nizar Habash,2:0.0013966552615371358
Rosario Plaza-Arteche,1:0.0013852908938473203
Inmaculada Álvarez-de-Mon,1:0.0013852908938473203
Guadalupe Aguado de Cea,1:0.0013852908938473203
Antonio Pareja-Lora,1:0.0013852908938473203
Advaith Siddharthan,2:0.0013699387403212923
Daniel Chung Yong Lim,1:0.0013654471235624492
Wee Meng Soon,1:0.0013654471235624492
Gregory Grefenstette,1:0.0013621703232701695
Andreas Mengel,1:0.0013570254239123794
Rada F. Mihalcea,2:0.0013321213085331278
Alla Rozovskaya,2:0.0013203381637778649
Laila Dybkjær,2:0.001290803568253329
Mykola Kolodnytsky,2:0.001290803568253329
Niels Ole Bernsen,2:0.001290803568253329
Philip Resnik,1:0.0012850655105863275
James Pustejovsky,2:0.001284529816218045
Florian Wolf and Edward Gibson,1:0.0012665519777220033
Ulrich Heid,2:0.001261536553085104
Jakub Zavrel,2:0.0012525704724004722
Maël Mettler,1:0.0012500727544323656
Joakim Lundborg,1:0.0012500727544323656
Martin Volk,1:0.0012500727544323656
M. Antònia Martí,1:0.001228521110185792
Yi Zhang,1:0.001228521110185792
Pavel Straňák,1:0.001228521110185792
Daisuke Kawahara,1:0.001228521110185792
Jan Hajič,1:0.001228521110185792
John Aberdeen,1:0.001212460615551674
Patricia Robinson,1:0.001212460615551674
Marc Vilain,1:0.001212460615551674
Robyn Kozierok,1:0.001212460615551674
Lynette Hirschman,1:0.001212460615551674
Florian Wolf,1:0.001193344655454469
Edward Gibson,1:0.001193344655454469
Tony Kroch,1:0.0011893906646210546
Mitch Marcus,1:0.0011893906646210546
John Kovarik,1:0.0011893906646210546
Shizhe Huang,1:0.0011893906646210546
Mary Ellen Okurowski ,1:0.0011893906646210546
Michael Ellsworth,1:0.0011856385234097011
Erik F. Tjong Kim Sang,1:0.0011836889707450193
Sabine Buchholz,1:0.0011836889707450193
Zhi Zhong,2:0.001180757362690901
Nancy Chang,1:0.0011534801678974034
Chilin Shih,1:0.0011534801678974034
Richard Sproat,1:0.0011534801678974034
William Gales,1:0.0011534801678974034
Theresa Wilson,1:0.001152859944978401
Ryan McDonald,1:0.0011501180603141815
Lyle Ungar,1:0.0011501180603141815
Andrew Schein,1:0.0011501180603141815
Pete White,1:0.0011501180603141815
Scott Winters,1:0.0011501180603141815
Mark Mandel,1:0.0011501180603141815
Petya Osenova,1:0.0011375026402287468
Dimitar Doikoff,1:0.0011375026402287468
Sia Kolkovska,1:0.0011375026402287468
Elisaveta Balabanova,1:0.0011375026402287468
Kiril Simov,1:0.0011375026402287468
Philip V. Ogren,1:0.0011188424197920177
Andrew Ng,1:0.0011175678631485215
Daniel Jurafsky,1:0.0011175678631485215
Rion Snow,1:0.0011175678631485215
Brendan O’Connor,1:0.0011175678631485215
Aljoscha Burchardt,1:0.0011164599180702366
Sebastian Pado,1:0.0011164599180702366
Mohamed Maamouri,2:0.001108796854734669
Florian Laws,1:0.0010987678060024732
John Chen,1:0.0010967962872950598
Jean Veronis,1:0.0010916889498395897
Uri Zernik,1:0.0010891751451124205
Paul Jacobs,1:0.0010891751451124205
Petr Pajas,1:0.0010798828312343475
Markus Becker,1:0.0010667180062275206
Beatrice Alex,1:0.0010667180062275206
Andrei Mikheev,1:0.001061876229829492
Steven Finch,1:0.001061876229829492
Chinatsu Aone,1:0.0010609317049028036
Scott William,1:0.0010609317049028036
Han Sloetjes,1:0.0010578458586485253
Albert Russel,1:0.0010578458586485253
Hennie Brugman,1:0.0010578458586485253
Alexander Klassmann,1:0.0010578458586485253
Jun Wu,1:0.0010370007309874556
Véronique Hoste,1:0.0010064002354820381
Antal van den Bosch,1:0.0010064002354820381
Bart Decadt,1:0.0010064002354820381
Lionel Clément,1:0.0010014986932439013
Alexandra Kinyon,1:0.0010014986932439013
Anne Abeillé,1:0.0010014986932439013
Shipra Dingare,1:0.0009997295942304717
Mark Steedman,1:0.0009997295942304717
Kikuo Maekawa,1:0.0009896335268658536
Marc Kemps-Snijders,1:0.0009858597434431113
Peter Withers,1:0.0009858597434431113
Claus Zinn,1:0.0009858597434431113
Dieter Van Uytvanck,1:0.0009858597434431113
Menzo Windhouwer,1:0.0009858597434431113
Simon H. Corston-Oliver,1:0.0009847289138095498
Rachele De Felice,1:0.0009835507048919488
Jean Carlettat,1:0.0009773166320707649
Radu Soricut,1:0.0009705081823056812
Michael Elhadad,1:0.000953588437940144
Regina Barzilay,1:0.000953588437940144
W. Detmar Meurers,1:0.000950954997454064
Markus Dickinson,1:0.000950954997454064
Sampo Pyysalo,1:0.000942498270437707
Sophia Ananiadou,1:0.000942498270437707
Jun’ichi Tsujii,1:0.000942498270437707
Goran Topić,1:0.000942498270437707
Pontus Stenetorp,1:0.000942498270437707
Tomoko Ohta,1:0.000942498270437707
Johan Hall,1:0.0009416442315246891
Jens Nilsson,1:0.0009416442315246891
Andrew Rosenberg,1:0.0009359451549710825
Ed Binkowski,1:0.0009359451549710825
Manfred Pinkal,1:0.000934140259856829
Michael Crystal,1:0.0009318982584001461
Richard Schwartz,1:0.0009318982584001461
the Annotation Group,1:0.0009318982584001461
Ralph M. Weischedel,1:0.0009318982584001461
R. Stone,1:0.0009318982584001461
Scott Miller,1:0.0009318982584001461
Heidi Fox,1:0.0009318982584001461
Marilyn Walkero,1:0.0009156397192259501
Sharon Cote,1:0.0009156397192259501
Masayo Iidat,1:0.0009156397192259501
Paola Velardi,1:0.0009074250117372617
Takenobu Tokunaga,1:0.000899490472244544
Hozumi Tanaka,1:0.000899490472244544
Atsushi Fujii,1:0.000899490472244544
Kentaro Inui,1:0.000899490472244544
Sameer Pradhan,1:0.0008970319387621626
Dmitriy Dligach,1:0.0008970319387621626
Edward Loper,1:0.0008970319387621626
Adriana Badulescu,1:0.0008846208845582249
Roxana Girju,1:0.0008846208845582249
Daniel Antohe,1:0.0008846208845582249
Marta Tatu,1:0.0008846208845582249
Dan Moldovan,1:0.0008846208845582249
Kathleen R. McKeown,1:0.0008816976291726391
Eric Fosler-Lussier,1:0.0008816976291726391
Michel Galley,1:0.0008816976291726391
Hongyan Jing,1:0.0008816976291726391
Safa Ismael,1:0.0008785913775604239
Tomaž Erjavec,1:0.0008785913775604239
Stephen Grimes,1:0.0008785913775604239
Maria Liakata,1:0.0008785913775604239
Frederick Reiss,1:0.0008785913775604239
Richard Tobin,1:0.0008785913775604239
Daeho Chung,1:0.0008785913775604239
Wojciech Jaworski,1:0.0008785913775604239
Valeria Quochi,1:0.0008785913775604239
Adam Przepiórkowski,1:0.0008785913775604239
Kui Xu,1:0.0008785913775604239
Zhiyi Song,1:0.0008785913775604239
Aleš Tavčar,1:0.0008785913775604239
Helen Meng,1:0.0008785913775604239
Khalid Choukri,1:0.0008785913775604239
Ching-Hua Yu,1:0.0008785913775604239
Laura Chiticariu,1:0.0008785913775604239
Yasuhiro Shirai,1:0.0008785913775604239
Núria Bel,1:0.0008785913775604239
Yunyao Li,1:0.0008785913775604239
Tetsuharu Moriya,1:0.0008785913775604239
David Doermann,1:0.0008785913775604239
Hajime Wada,1:0.0008785913775604239
Monica Monachini,1:0.0008785913775604239
Joseph Mariani,1:0.0008785913775604239
Ju-Yeon Ryu,1:0.0008785913775604239
Darja Fišer,1:0.0008785913775604239
Marina Santini,1:0.0008785913775604239
Jan Odijk,1:0.0008785913775604239
Robert Granville,1:0.0008785913775604239
Kristiina Jokinen,1:0.0008785913775604239
Elizabeth Zeitoun,1:0.0008785913775604239
Rafiya Begum,1:0.0008765481049104142
Samar Husain,1:0.0008765481049104142
Arun Dhwaj,1:0.0008765481049104142
Rajeev Sangal,1:0.0008765481049104142
Dipti Misra Sharma,1:0.0008765481049104142
Lakshmi Bai,1:0.0008765481049104142
Samuel Brody,1:0.0008754728297730677
Mirella Lapata,1:0.0008754728297730677
Yasemin Altun,1:0.0008624343335548999
Maroto Nagao,1:0.000848912307316672
Junichi Tsujii,1:0.000848912307316672
Roger Garside,1:0.0008470222625028647
Michael Bryant,1:0.0008470222625028647
Geoffrey Leech,1:0.0008470222625028647
Annie Louis,1:0.000830874196451153
Manfred Stede,1:0.0008294123342858698
Hui-Li Hsu,1:0.0008231655335443121
Li-Ping Chang,1:0.0008231655335443121
Jin Kiat  Low,1:0.0008142915141286681
Christer Samuelsson,1:0.000806119815917284
Atro Voutilainen,1:0.000806119815917284
Bonnie Lynn Webber,1:0.0007996727531575055
Yoong Keok Lee,1:0.0007955062629824738
Lori Levin,1:0.0007916577403652461
Keith J. Miller,1:0.0007916577403652461
David Farwell,1:0.0007916577403652461
Teruko Mitamura,1:0.0007916577403652461
F. Reeder,1:0.0007916577403652461
Bonnie J. Dorr,1:0.0007916577403652461
S. Helmreich,1:0.0007916577403652461
Andras Csomai,1:0.0007799500018153235
Rajesh Bhatt,1:0.0007742193233755293
Bhuvana Narasimhan,1:0.0007742193233755293
Dipti Sharma,1:0.0007742193233755293
Wayne Ward,1:0.0007675325810497566
Xuezhe Ma,1:0.0007609082966558452
Hae-Yun Lee,1:0.0007609082966558452
Koichiro Morihiro,1:0.0007573703877064224
Ryo Nagata,1:0.0007573703877064224
Atsuo Kawai,1:0.0007573703877064224
Naoki Isu,1:0.0007573703877064224
Charles Wooters,1:0.0007559045587142859
Beata Beigman Klebanov,1:0.0007548278643184434
Eyal Beigman,1:0.0007548278643184434
Beth Randall,1:0.0007531299866793919
Salim Zayat,1:0.0007531299866793919
Estibaliz Amorrortu,1:0.0007529258776879182
Magdalena Romera,1:0.0007529258776879182
Lauren Delfs,1:0.0007496798585350049
Thomas Morton,1:0.0007308894091175225
Jeremy LaCivita,1:0.0007308894091175225
Guido Minnen,1:0.0007282807380711671
Ann Copestake,1:0.0007282807380711671
Francis Bond,1:0.0007282807380711671
Hassan Sajjad,1:0.0007202753985929705
Gerard Escudero,1:0.0007174778363920134
Lluìs Màrquez,1:0.0007174778363920134
Harry Bunt,1:0.0007171052185941753
William B. Dolan ,1:0.0007104497973387932
Cassandre Creswell,1:0.0007035760107370375
Harriet Taber,1:0.0007035760107370375
Marilyn Walker,1:0.0007035760107370375
Kerstin Eckart,1:0.000699973043997147
Daniela Vassallo,1:0.0006997532543313496
Leonardo Lesmo,1:0.0006997532543313496
Vincenzo Lombardo,1:0.0006997532543313496
Cristina Bosco,1:0.0006997532543313496
Thierry Declerck,1:0.0006967156747108851
Ziheng Lin,1:0.0006964006319731693
Min-Yen Kan,1:0.0006964006319731693
Dekang Lin,1:0.0006875081272503035
Julia Hockenmaier,1:0.000681895197170481
Katja Markert,1:0.0006710493490889323
Natalia N. Modjeska,1:0.0006710493490889323
Robert J. P. Ingria,1:0.0006575705858908576
David Stallard,1:0.0006575705858908576
James Allen,1:0.0006570652233391036
Leon Derczynski,1:0.0006570652233391036
Hector Llorens,1:0.0006570652233391036
Marc Verhagen,1:0.0006570652233391036
Naushad UzZaman,1:0.0006570652233391036
Luisa Bentivogli,1:0.0006555421949407372
Hiroaki SATO,1:0.0006551214391581072
Tomaz Erjavec,1:0.0006539130104777774
Dan Tufis,1:0.0006539130104777774
Marco Baroni,1:0.000650117073774652
Oier Lopez de Lacalle,1:0.0006389087825589532
Johanneke Caspers,1:0.0006376419202668255
**Heleen Hoekstra,1:0.0006376419202668255
Jean-Pierre Martens,1:0.0006376419202668255
Vincent J. van Heuven,1:0.0006376419202668255
Jeska Buhmann,1:0.0006376419202668255
Marc Swerts,1:0.0006376419202668255
Beth M. Sundheim,1:0.0006366577220437511
Robbie Haertel,1:0.0006366553370065986
Deryle Lonsdale,1:0.0006366553370065986
Marc Carmen,1:0.0006366553370065986
George Busby,1:0.0006366553370065986
James Carroll,1:0.0006366553370065986
Eric Ringger,1:0.0006366553370065986
Kevin Seppi,1:0.0006366553370065986
Peter McClanahan,1:0.0006366553370065986
Hans van Halteren,1:0.0006344337219179628
Hideki Kozima,1:0.000630675125670885
Kevin Knight,1:0.0006280650173290632
Anna Rumshisky,1:0.0006274645928789414
Ben Wellner,1:0.0006274645928789414
Catherine Havasi,1:0.0006274645928789414
Roser Saurí,1:0.0006274645928789414
Joel Tetreault,1:0.0006256820503279994
Ehsanul Faruque,1:0.0006185297434391767
Frank Van Eynde,1:0.0006181367504825094
Ulrich Callmeier,1:0.0006143674269338478
Melanie Siegel,1:0.0006143674269338478
Andreas Eisele,1:0.0006143674269338478
Ulrich Schäfer,1:0.0006143674269338478
Udo Hahn,1:0.0006091307477449668
Joachim Wermter,1:0.0006091307477449668
Katrin Tomanek,1:0.0006091307477449668
Robert Gaizauskas,1:0.0006083151371259098
Kevin Humphreys,1:0.0006083151371259098
Christine Piatko,1:0.0006081934688058459
Omar Zaidan,1:0.0006081934688058459
Jason Eisner,1:0.0006081934688058459
Sabine Schulte im Walde,1:0.0005989244270848754
Tomonori Ishikawa,1:0.0005989244270848754
Jinying Chen,1:0.0005921448888787219
Doug Downey,1:0.0005916107873445367
Mike Anderson,1:0.0005916107873445367
Lev Ratinov,1:0.0005916107873445367
Shou King Foo,1:0.0005826138810084668
Chung Yong Lim,1:0.0005826138810084668
Dan Tidhar,1:0.0005782809999560463
Wen-Lian Hsu,1:0.0005780795129731262
Gladys Hsieh,1:0.0005780795129731262
Jia-Lin Tsai,1:0.0005780795129731262
Roberto Zanoli,1:0.0005778699474830902
Rachele Sprugnoli,1:0.000571810170261487
Matteo Negri,1:0.000571810170261487
L. Romano,1:0.000571810170261487
Manuela Speranza,1:0.000571810170261487
Valentina Bartalesi Lenzi,1:0.000571810170261487
Steve Cassidy,1:0.0005711961634618911
Michael Kaisser,1:0.0005630510000702019
Wajdi Zaghouani,1:0.0005615635090879569
Amy Isard,1:0.0005615635090879569
Dave Graff,1:0.0005615635090879569
Vito Pirrelli,1:0.0005615635090879569
Norbert Reithinger,1:0.0005615635090879569
Stefan Evert,1:0.0005615635090879569
Christoph Lauer,1:0.0005615635090879569
Mike Ciul,1:0.0005615635090879569
Niels Cadée,1:0.0005615635090879569
Andreas Vögele,1:0.0005615635090879569
Lucas P.J.J. Noldus,1:0.0005615635090879569
Christoph Mueller,1:0.0005607706714708451
Shane Bergsma,1:0.0005597057080470786
Qin Iris Wang,1:0.0005597057080470786
Marc Light,1:0.0005576146620857859
Steven Abney,1:0.0005576146620857859
Suzanne Stevenson,1:0.0005543098359341417
Jirí Semecky,1:0.0005513025857744697
Dan Klein,1:0.0005509931013340076
Jan-Torsten Milde,1:0.0005483701930389143
Ulrike Gut,1:0.0005483701930389143
Christopher Cieri,1:0.0005481510099099953
Alessandro Moschitti,1:0.0005481300761598362
Yee Seng Chan,1:0.0005478782300461891
Bin Wang,1:0.0005478782300461891
Pierre Nugues,1:0.0005449290743576125
Christopher D. Manning,1:0.0005446197467766056
