A. Kumaran,2:0.00167130641060859
Antti-Veikko Rosti,2:0.0016542501448532426
Spyros Matsoukas,2:0.0016542501448532426
Bonnie Dorr,2:0.001644388189439021
ChengXiang Zhai,3:0.0016383006075076558
Steve DeNeefe,1:0.00161427554818506
Jonathan Graehl,1:0.00161427554818506
Alex Zubiaga,1:0.001609852758813484
Jan Hajic,2:0.0015944007524076622
Ashish Venugopal,2:0.00159104581348368
Sasa Hasan,1:0.0015814683556345773
Grace Ngai,1:0.0015728785105978834
David Yarowsky,1:0.0015728785105978834
Richard Wicentowski,1:0.0015728785105978834
Alon Itai,2:0.001565374837102424
Kathleen R. McKeown,1:0.0015514082086273747
Vasileios Hatzivassiloglou,1:0.0015514082086273747
Phil Blunsom,4:0.0015330412216973208
David Vilar,3:0.0015329570638651494
Vincent DellaPietra,1:0.0015238711564875133
Stephen DellaPietra,1:0.0015238711564875133
Jonathan Weese,3:0.0015183322138637625
Fatiha Sadat,3:0.0015150622733569414
Sung Young Jung,1:0.0015109213472348727
Eunok Paek,1:0.0015109213472348727
SungLim Hong,1:0.0015109213472348727
Zhifei Li,3:0.001509386734132903
Dekang Lin,3:0.001497731652009269
Yuval Marton,3:0.0014937664360591925
Shouxun Lin,2:0.0014910289945489906
Trevor Cohn,4:0.0014893762100526777
Ben Taskar,2:0.0014659189232454335
Ronald Rosenfeld,1:0.00145666001303815
Ying Zhang,2:0.001431539050733427
Gholamreza Haffari,1:0.0014270432006673044
Christian Buck,2:0.001424697964695837
Christian Federmann,2:0.001424697964695837
Barry Haddow,2:0.001424697964695837
Julian Kupiec,1:0.00141848724860199
William Dolan,2:0.001417425881307478
Michael Jahr,1:0.0014169363494990794
Bing Zhao,3:0.0013952300666168773
Michael A. Covington,2:0.00138871222761561
Luka Nerima,1:0.001320642075772458
Yves Scherrer,1:0.001320642075772458
Eric Wehrli,1:0.001320642075772458
Percy Liang,2:0.0012845825592376152
Jason S. Chang,2:0.0012634634921571358
Sergei Nirenburg,2:0.0012432582526375358
Hitoshi Isahara,3:0.0012419159556689183
Michael Carl,1:0.0012416184395274133
Hans van Halteren,2:0.0012273838992883663
Jey Han Lau,1:0.0012095887257087298
Karl Grieser,1:0.0012095887257087298
Timothy Baldwin,1:0.0012095887257087298
David Newman,1:0.0012095887257087298
Tao Tao,2:0.0011999349944847577
Jianfeng Gao,3:0.0011947118407954899
Andreas Zollmann,1:0.0011887124776148365
Cyril Goutte,3:0.0011726777461673061
Michel Simard,3:0.0011696146616361099
Mark Johnson,3:0.001165055265456075
Lo Yuen Yee,1:0.001160306109949835
Necip Fazil Ayan,2:0.00115050400873421
Alexandre Klementiev,2:0.0011455490983631905
Adam Lopez,3:0.0011440527923467936
Nitin Madnani,2:0.0011431310165921737
Dragos Stefan Munteanu and Daniel Marcu,1:0.0011216191317775428
Lane Schwartz,2:0.0011149097819424015
Owen Rambow,3:0.0011137063507680664
Bonnie J. Dorr,2:0.0010964853993877363
Kathleen McKeown,1:0.0010942983240597858
M. Strauss,1:0.001094165980927525
B. Merialdo,1:0.001094165980927525
Fred Jelinek,1:0.001094165980927525
Ted Pedersen,1:0.0010927582133277215
Hal Daume III,2:0.001085404892146547
Michael Gamon,2:0.0010755518722693983
Hang Li,2:0.0010743506555998756
Abdessamad Echihabi,2:0.001071135225971092
Yashar Mehdad,3:0.0010571636713015886
Matteo Negri,3:0.0010571636713015886
Tong Zhang,2:0.0010304794300169237
Stephen D. Richardson,1:0.001026781716280834
David Kauchak,1:0.0010254089083435065
Sonja Nießen,1:0.0010096983414959139
William Gale,1:0.0010079990272547521
Nancy Chang,1:0.0010079990272547521
Chilin Shih,1:0.0010079990272547521
AiTi Aw,2:0.0010073879212726985
Young-Suk Lee,1:0.001006570154407977
Heidi Fox,1:0.0009997421160761835
Yang (1) Liu,1:0.0009940047099588618
Meredith J. Goldsmith,1:0.0009727377152074124
Surya Mohanty,1:0.0009727377152074124
Ondřej Bojar,1:0.0009712041708033739
Chris Brew,2:0.0009576965665221433
Anna Feldman,2:0.0009576965665221433
Christoph Tillman,1:0.000947034658816054
Iryna Gurevych,2:0.0009289832391649845
Klein Dan,1:0.0009185839473256097
Lacoste-Julien Simon,1:0.0009185839473256097
Tarek Sherif,2:0.0009166548084363116
Guy Lapalme,2:0.0009116719430297363
Sue J. Ker,1:0.000899912907529157
Joel Martin,2:0.0008968549594343992
Key-Sun Choi,2:0.0008911761142498657
Robert Frederking,1:0.0008871023733467907
Masao Utiyama,2:0.0008645016461028977
Lillian Lee,2:0.0008594781242130427
Ulrike Schwall,1:0.0008566001787209957
Juri Ganitkevitch,2:0.0008532165679249273
Noemie Elhadad,1:0.0008509417335721634
Hao Zhang,2:0.0008392078365710312
Krista Lagus,1:0.0008384876278759003
Mathias Creutz,1:0.0008384876278759003
Kenneth Ward Church,1:0.0008354644488410268
Rebecca Hwa,1:0.0008311396507177561
Joshua Albrecht,1:0.0008311396507177561
Bing Xiang,1:0.0008259081582595025
Roy Tromble,1:0.0008232057420748972
Matthias Eck,2:0.000820724590378489
Mark Sammons,1:0.0008193331814077202
Gerard de Melo,1:0.0008193331814077201
Gerhard Weikum,1:0.0008193331814077201
Matthew Snover,1:0.0008184800311795184
Pascale Pung,1:0.0008133054299974055
Kirsten Falkedal,1:0.0008125873243398442
Margaret King,1:0.0008125873243398442
Chao Wang,1:0.0008046929516643163
David A. Smith,1:0.000800126075643094
Eric Gaussier,2:0.0007988897481854799
Kevin Duh,2:0.0007979101244629514
Adam L. Buchsbaum,1:0.000789926750282691
Martha Palmer,1:0.0007829068922618405
Yuan Ding,1:0.0007829068922618405
Ralf D. Brown,1:0.0007770852016652697
Sonja Nießen and Hermann Ney,1:0.00077689332714916
Ralf Steinberger,1:0.0007731925295863901
Dan Tufiş,1:0.0007731925295863901
Camelia Ignat,1:0.0007731925295863901
A. Widiger,1:0.0007731925295863901
Tomaz Erjavec,1:0.0007731925295863901
Bruno Pouliquen,1:0.0007731925295863901
Daniel Varga,1:0.0007731925295863901
Sharon Goldwater,1:0.0007708287281234928
David McClosky,1:0.0007708287281234928
Ming-Wen Wu,1:0.0007671171652958037
Keh-Yih Su,1:0.0007671171652958037
Jing-Shin Chang,1:0.0007671171652958037
Hwee Tou Ng,1:0.000753234448099201
Yee Seng Chan,1:0.000753234448099201
Mirella Lapata,2:0.0007511526529387414
Abhaya Agarwal,1:0.0007462789291286118
John DeNero,2:0.0007375166587387527
Taylor Berg-Kirkpatrick,1:0.0007372475833177914
Aria Haghighi,1:0.0007372475833177914
Oren Etzioni,2:0.0007285177430242605
Pushpak Bhattacharyya,2:0.0007210265394012228
Christian Boitet,2:0.0007210265394012228
Diana McCarthy,2:0.0007152253974536313
Ravi Sinha,2:0.0007152253974536313
Michael Denkowski,1:0.0007076262072000044
Kay Peterson,1:0.0007008280055518627
Mark Przybocki,1:0.0007008280055518627
Shyamsundar Jayaraman,1:0.0006942390442085613
Holger Schwenk,2:0.0006882404706567457
Simon Corston-Oliver,1:0.0006880414430405506
Juan Xiao,1:0.0006822128628758205
Pierre Isabelle,2:0.0006732078933823515
Le Quan Ha,1:0.000672754061828121
Ji Ming,1:0.000672754061828121
Elena Garcia,1:0.000672754061828121
and F. J. Smith,1:0.000672754061828121
Marian Olteanu,1:0.0006702996426822335
Dan Moldovan,1:0.0006702996426822335
Pasin Suriyentrakorn,1:0.0006702996426822335
Daniel Jurafsky,2:0.0006687221123406466
Wren Thornton,1:0.0006651156459388352
Cédrick Fairon,1:0.0006579603085670815
S. Paumier,1:0.0006579603085670815
Edmund Talley,1:0.0006503556161402027
Andrew McCallum,1:0.0006503556161402027
David Mimno,1:0.0006503556161402027
Hanna Wallach,1:0.0006503556161402027
Miriam Leenders,1:0.0006503556161402027
Jun Suzuki,1:0.000650012068235165
Hajime Tsukada,1:0.000650012068235165
Hideki Isozaki,1:0.000650012068235165
Runxin Li,1:0.000644692927181235
Xihong Wu,1:0.000644692927181235
Dingsheng Luo,1:0.000644692927181235
Qi Sun,1:0.000644692927181235
Alexander Fraser,1:0.0006417298001731271
Mei Yang,2:0.0006414242199424449
Qin Gao,1:0.0006387195970989311
Jiri  Hana,1:0.0006323765966359318
Pavel Kveton,1:0.0006216630372002498
Vladimir Petkevic,1:0.0006216630372002498
Karel Oliva,1:0.0006216630372002498
Pavel Krbec,1:0.0006216630372002498
Jia Xu,1:0.0006191630869072319
Luis Fernando D'Haro,1:0.0006191630869072319
Yunbo Cao,1:0.000613088689430217
Weiwei Guo,1:0.0006122417162947745
Courtney Corley,1:0.0006040940674246418
Attila Novák,1:0.0006012094915571262
László Tihanyi,1:0.0006012094915571262
Gábor Prószéky,1:0.0006012094915571262
Almut Silja Hildebrand,1:0.0005990342551433657
Jonathan May,1:0.0005867386304542719
Stefan Riezler,1:0.0005860299233004628
John T. Maxwell,1:0.0005860299233004628
Benjamin Snyder,1:0.0005848571564273136
Rebecca Finc,1:0.0005792983148576902
David Graft,1:0.0005792983148576902
Bill MacCartney,1:0.0005713224899128332
Tony Hartley,1:0.0005673348359414041
Bogdan Babych,1:0.0005673348359414041
Jaime G. Carbonell,1:0.0005633450641101486
Eric H. Nyberg, 3rd,1:0.0005633450641101486
Teruko Mitamura,1:0.0005633450641101486
Pierre Zweigenbaum,1:0.0005498698666627605
Y. Chiao,1:0.0005498698666627605
Hitoshi Iida,1:0.0005498074390844434
Osamu Furuse,1:0.0005498074390844434
Alexandre Bouchard-Côté,1:0.0005473349759198238
Jinxi Xu,1:0.0005426329763216088
Ralph Weischedel,1:0.0005426329763216088
Stephan Kanthak,1:0.0005421970514935923
Ivona Kučerová,1:0.0005389562373726871
Kenneth Heafield,1:0.000536922811910936
Sittichai Jiampojamarn,1:0.0005357832446174632
Ken Church,1:0.0005345743831774299
Keh-Jiann Chen,1:0.0005301321303317535
Wei-Yun Ma,1:0.0005301321303317535
Detmar Meurers,1:0.0005300376989267579
Serhiy Bykh,1:0.0005300376989267579
Cornelia Maria Verspoor,1:0.0005277868769328066
Stephen Wan,1:0.0005277868769328066
Daniel Bär,1:0.000527255502674215
Chris Biemann,1:0.000527255502674215
Torsten Zesch,1:0.000527255502674215
Stephen Clark,1:0.000523119731392786
Yue Zhang,1:0.000523119731392786
William Lewis,1:0.0005170133081081836
Ciprian Chelba,1:0.0005152332536749446
Alex  Acero,1:0.0005152332536749446
Yee Whye Teh,1:0.0005054206086281853
David Matthews,1:0.0005047105618427081
David Chen,1:0.0005008951186309489
Deyi Xiong,1:0.0004970242845901289
Fei Huang,1:0.0004941810323703284
Paul Cook,1:0.000492927123625883
Marco Lui,1:0.000492927123625883
Su-youn Yoon,1:0.0004905106405534429
Andrew Fister,1:0.0004905106405534429
Hongsing Wong,1:0.00048316002430430944
Jonathan H. Clark,1:0.0004780729947925751
Alexandros Potamianos,1:0.0004757883698930346
Maria Giannoudaki,1:0.0004757883698930346
Kalliopi Zervanou,1:0.0004757883698930346
Elias Iosif,1:0.0004757883698930346
Dragos Stefan Munteanu,1:0.00047375230133029386
Takashi Tomokiyo,1:0.0004725988449849431
Matthew Hurst,1:0.0004725988449849431
Jun'ichi Tsujii,1:0.00047214190874898544
Jun'ichi Kazama,1:0.00047214190874898544
Robert Malouf,1:0.00047143636535581927
Irene Langkilde,1:0.000463435839020058
Cong Li,1:0.00046126196616965847
Kenji Suzuki,1:0.0004598663208371793
Masaaki Nagata,1:0.0004598663208371793
Teruka Saito,1:0.0004598663208371793
Smaranda Muresan,1:0.00045480630759826347
Christopher Dyer,1:0.00045480630759826347
Khe Chai Sim,1:0.0004535575394798608
Jin-Shea Kuo,1:0.0004535575394798608
Minghui Dong,1:0.0004535575394798608
Aleš Tamchyna,1:0.0004534937938924633
Herve Saint-Amand,1:0.0004534937938924633
Pavel Pecina,1:0.0004534937938924633
Johannes Leveling,1:0.0004534937938924633
Murat Deviren,1:0.00045288538245872234
Eric Sven Ristad,1:0.00045288538245872234
Jui-Chi Ho,1:0.00045288538245872234
Kamel Smaïli,1:0.00045288538245872234
Hsueh-Wei Yang,1:0.00045288538245872234
Roger Evans,1:0.00045288538245872234
Baobao Chang,1:0.00045288538245872234
Joel Nothman,1:0.00045288538245872234
Jingxia Lin,1:0.00045288538245872234
Khalid Daoudi,1:0.00045288538245872234
Fan-Min Li,1:0.00045288538245872234
Reinhard Schäler,1:0.00045288538245872234
Stephan Oepen,1:0.00045288538245872234
Andre Kempe,1:0.00045288538245872234
Stephen Beale,1:0.00045288538245872234
Jan Tore Lønning,1:0.00045288538245872234
Kristy Hughes,1:0.00045288538245872234
Ing-Xiang Chen,1:0.00045288538245872234
Keliang Zhang,1:0.00045288538245872234
Cheng-Zen Yang,1:0.00045288538245872234
Jhing-Fa Wang,1:0.00045288538245872234
Robert G. Thomas,1:0.00045288538245872234
James R Curran,1:0.00045288538245872234
Shun-Chieh Lin,1:0.00045288538245872234
Giorgio Magri,1:0.00045288538245872234
Daniel S. Paiva,1:0.00045288538245872234
Jong-Hoon Oh,1:0.00045278307196989825
Chris Dyery,1:0.0004497941360035663
Wren N. G. Thornton,1:0.0004497941360035663
Omar F. Zaidan,1:0.0004497941360035663
Kumiko Tanaka,1:0.0004488143340598912
Hideya Iwasaki,1:0.0004488143340598912
Xiaodong He,1:0.0004473184888923701
Amittai Axelrod,1:0.0004473184888923701
Chunyu Kit,1:0.0004464599370626703
Hai Zhao,1:0.0004464599370626703
Abraham Ittycheriah,1:0.00044530650308621117
Pascale Fu,1:0.00044510648820861754
Aaron Tikuisis,1:0.00044183247382909095
Akakpo Agbago,1:0.00044183247382909095
Dan Jurafsky,1:0.0004403452794369786
Byung-Ju Kang,1:0.00043839304227996737
Jing Jiang,1:0.00043836561302289815
Arne Fitschen,1:0.00043786586110608933
Ulrich Heid,1:0.00043786586110608933
Helmut Schmid,1:0.00043786586110608933
Alexander Yeh,1:0.0004365243166157212
Christopher B. Quirk,1:0.0004363648811468616
Hoifung Poon,1:0.0004295375297649973
Liang Zhou,1:0.0004292261153030472
Arne Mauser,1:0.0004243047220995359
Marc Dymetman,1:0.0004243047220995359
Bruno Cavestro,1:0.0004243047220995359
Nicola Cancedda,1:0.0004243047220995359
Yasemin Altun,1:0.0004221056386426368
Thomas Hofmann,1:0.0004221056386426368
Stan Szpakowicz,1:0.00042186484060958475
Cristina Butnariu,1:0.00042186484060958475
Preslav Nakov,1:0.00042186484060958475
Diarmuid Ó Séaghdha,1:0.00042186484060958475
Su Nam Kim,1:0.00042186484060958475
Tony Veale,1:0.00042186484060958475
Sisay Fissaha Adafre,1:0.0004179426565661155
Maarten de Rijke,1:0.0004179426565661155
Rani Nelken,1:0.00041788757961201315
Stuart M. Shieber,1:0.00041788757961201315
Jason R. Smith,1:0.0004163046796080722
Vamshi Ambati,1:0.0004074791224901371
Jaime Carbonell,1:0.0004074791224901371
Anthony Fader,1:0.00040614086723251376
Stephen Soderland,1:0.00040614086723251376
Galen  Andrew,1:0.00040610205463229395
Ferhan Ture,1:0.00040342243192136094
Hendra Setiawan,1:0.00040342243192136094
Vladimir Eidelman,1:0.00040342243192136094
David Vickrey,1:0.00040183994493070456
Luke Biewald,1:0.00040183994493070456
Marc Teyssier,1:0.00040183994493070456
Daphne Koller,1:0.00040183994493070456
Delphine Bernhard,1:0.0004017277364907694
Zhemin Zhu,1:0.0004017277364907694
Kevyn Collins-Thompson,1:0.0003969465840475637
Maxine Eskenazi,1:0.0003969465840475637
Michael Heilman,1:0.0003969465840475637
